country	country_code	ETS information	main activity sector name	unit	value	year
Belgium	BE	1.1.1 Free allocation to existing entities (Art. 10a(1))	42 Production of bulk chemicals	tonne of CO2 equ.	61827005	Total 3rd trading period (13-20)
France	FR	2. Verified emissions	26 Production of primary aluminium	tonne of CO2 equ.	526169	Total 2nd trading period (08-12)
France	FR	4.2 Surrendered certified emission reductions (CERs)	26 Production of primary aluminium	tonne of CO2 equ.	75000	Total 2nd trading period (08-12)
France	FR	2. Verified emissions	29 Production of cement clinker	tonne of CO2 equ.	60195605	Total 2nd trading period (08-12)
France	FR	4.1 Surrendered EU allowances (EUAs and EUAAs)	29 Production of cement clinker	tonne of CO2 equ.	50406940	Total 2nd trading period (08-12)
France	FR	4. Total surrendered units	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	15845698	Total 2nd trading period (08-12)
Portugal	PT	4.2 Surrendered certified emission reductions (CERs)	24  Production of pig iron or steel	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Portugal	PT	2. Verified emissions	29 Production of cement clinker	tonne of CO2 equ.	20800314	Total 1st trading period (05-07)
Portugal	PT	1.1.1 Free allocation to existing entities (Art. 10a(1))	31 Manufacture of glass	tonne of CO2 equ.	2043459	Total 1st trading period (05-07)
Portugal	PT	4.3 Surrendered emission reduction units (ERUs)	31 Manufacture of glass	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Belgium	BE	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	42 Production of bulk chemicals	tonne of CO2 equ.	304630	Total 3rd trading period (13-20)
Belgium	BE	4. Total surrendered units	42 Production of bulk chemicals	tonne of CO2 equ.	55267020	Total 3rd trading period (13-20)
Czechia	CZ	2. Verified emissions	31 Manufacture of glass	tonne of CO2 equ.	5694296	Total 3rd trading period (13-20)
Czechia	CZ	2.1 EU-ETS Verified Emission	31 Manufacture of glass	tonne of CO2 equ.	5694296	Total 3rd trading period (13-20)
Czechia	CZ	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	35 Production of pulp	tonne of CO2 equ.	0	Total 3rd trading period (13-20)
Czechia	CZ	4. Total surrendered units	35 Production of pulp	tonne of CO2 equ.	172467	Total 3rd trading period (13-20)
Czechia	CZ	1.1.1 Free allocation to existing entities (Art. 10a(1))	36 Production of paper or cardboard	tonne of CO2 equ.	1033662	Total 3rd trading period (13-20)
